Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/CLSLOGO.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/CLShawk.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/hawk%20face.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Hawk%20Profile.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,charlotte_latin_school (720p) (3).mp4,0:00:58,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
