Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/Field%20.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/latin%20field%20.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/IO.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/IO2.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/full%20campus.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/patten%20field.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/SAC.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/baseball%20field.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/daviddorio/ATVTEST/refs/heads/main/Latin-5-23-24-A.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
