Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/LatinCampus_16x9.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/IO%20Building.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://github.com/daviddorio/ATVTEST/raw/main/charlotte_latin_school%20(720p).mp4,0:00:57,1:00:00,1/1/18 0:00,12/31/30 23:59,no
Exhibit04,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Entrance_16x9.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
